gene_name,transcript_id
SZRD1,ENST00000401088.9
NECAP2,ENST00000337132.10
CROCC,ENST00000375541.10
MFAP2,ENST00000375535.4
ATP13A2,ENST00000326735.13
SDHB,ENST00000375499.8
PADI2,ENST00000375486.9
PADI1,ENST00000375471.5
PADI3,ENST00000375460.3
PADI4,ENST00000375448.4
PADI6,ENST00000619609.1
RCC2,ENST00000375436.9
ARHGEF10L,ENST00000361221.8
ACTL8,ENST00000375406.2
IGSF21,ENST00000251296.4
KLHDC7A,ENST00000400664.3
PAX7,ENST00000420770.7
ALDH4A1,ENST00000375341.8
IFFO2,ENST00000455833.7
UBR4,ENST00000375254.8
EMC1,ENST00000477853.6
MRTO4,ENST00000330263.5
AKR7A3,ENST00000361640.5
AKR7A2,ENST00000235835.8
SLC66A1,ENST00000375153.8
CAPZB,ENST00000264202.8
MICOS10,ENST00000322753.7
NBL1,ENST00000375136.8
HTR6,ENST00000289753.2
TMCO4,ENST00000294543.11
RNF186,ENST00000375121.4
OTUD3,ENST00000375120.4
PLA2G2E,ENST00000375116.3
PLA2G5,ENST00000375108.4
PLA2G2D,ENST00000375105.8
PLA2G2F,ENST00000375102.4
PLA2G2C,ENST00000679259.1
UBXN10,ENST00000375099.4
VWA5B1,ENST00000289815.13
CAMK2N1,ENST00000375078.4
MUL1,ENST00000264198.5
FAM43B,ENST00000332947.6
CDA,ENST00000375071.4
PINK1,ENST00000321556.5
DDOST,ENST00000602624.7
KIF17,ENST00000400463.8
SH2D5,ENST00000444387.7
HP1BP3,ENST00000438032.6
ECE1,ENST00000374893.11
NBPF3,ENST00000318249.10
ALPL,ENST00000374840.8
RAP1GAP,ENST00000374765.9
USP48,ENST00000308271.14
LDLRAD2,ENST00000344642.7
HSPG2,ENST00000374695.8
CELA3B,ENST00000337107.11
CELA3A,ENST00000290122.8
CDC42,ENST00000656825.1
WNT4,ENST00000290167.11
ZBTB40,ENST00000375647.5
EPHA8,ENST00000166244.8
C1QA,ENST00000374642.8
C1QC,ENST00000374640.9
C1QB,ENST00000509305.6
EPHB2,ENST00000374630.8
TEX46,ENST00000566855.4
KDM1A,ENST00000400181.9
HTR1D,ENST00000374619.2
HNRNPR,ENST00000302271.11
ZNF436,ENST00000314011.9
TCEA3,ENST00000450454.7
ASAP3,ENST00000336689.8
E2F2,ENST00000361729.3
ID3,ENST00000374561.6
RPL11,ENST00000643754.2
PITHD1,ENST00000246151.9
LYPLA2,ENST00000374514.8
GALE,ENST00000617979.5
HMGCL,ENST00000374490.8
FUCA1,ENST00000374479.4
CNR2,ENST00000374472.5
PNRC2,ENST00000334351.8
SRSF10,ENST00000492112.3
MYOM3,ENST00000374434.4
IL22RA1,ENST00000270800.2
IFNLR1,ENST00000327535.6
GRHL3,ENST00000361548.9
STPG1,ENST00000337248.9
NIPAL3,ENST00000374399.9
RCAN3,ENST00000374395.9
NCMAP,ENST00000374392.3
SRRM1,ENST00000323848.14
CLIC4,ENST00000374379.9
RUNX3,ENST00000308873.11
SYF2,ENST00000236273.9
RSRP1,ENST00000243189.12
TMEM50A,ENST00000374358.5
MACO1,ENST00000374343.5
LDLRAP1,ENST00000374338.5
MAN1C1,ENST00000374332.9
SELENON,ENST00000361547.7
MTFR1L,ENST00000374303.7
AUNIP,ENST00000374298.4
PAQR7,ENST00000675840.1
STMN1,ENST00000455785.7
PAFAH2,ENST00000374282.8
EXTL1,ENST00000374280.4
SLC30A2,ENST00000374276.4
TRIM63,ENST00000374272.4
PDIK1L,ENST00000374269.2
FAM110D,ENST00000374268.5
C1orf232,ENST00000634842.2
ZNF593,ENST00000374266.7
CNKSR1,ENST00000361530.11
CATSPER4,ENST00000456354.7
CEP85,ENST00000451429.8
SH3BGRL3,ENST00000270792.10
CD52,ENST00000374213.3
CRYBG2,ENST00000308182.10
ZNF683,ENST00000349618.8
LIN28A,ENST00000326279.11
DHDDS,ENST00000236342.12
HMGN2,ENST00000361427.6
RPS6KA1,ENST00000374168.7
ARID1A,ENST00000324856.13
PIGV,ENST00000674202.1
ZDHHC18,ENST00000374142.9
SFN,ENST00000339276.6
GPN2,ENST00000374135.9
GPATCH3,ENST00000361720.10
NUDC,ENST00000321265.10
NR0B2,ENST00000254227.4
KDF1,ENST00000320567.6
TRNP1,ENST00000522111.3
TENT5B,ENST00000289166.6
SLC9A1,ENST00000263980.8
WDTC1,ENST00000319394.8
TMEM222,ENST00000374076.9
SYTL1,ENST00000616558.5
MAP3K6,ENST00000357582.3
FCN3,ENST00000270879.9
CD164L2,ENST00000374030.3
GPR3,ENST00000374024.4
WASF2,ENST00000618852.5
AHDC1,ENST00000673934.1
FGR,ENST00000374005.8
IFI6,ENST00000361157.11
FAM76A,ENST00000373954.11
STX12,ENST00000373943.9
PPP1R8,ENST00000311772.10
THEMIS2,ENST00000373921.8
RPA2,ENST00000373912.8
SMPDL3B,ENST00000373894.8
XKR8,ENST00000373884.6
EYA3,ENST00000373871.8
PTAFR,ENST00000373857.8
DNAJC8,ENST00000263697.6
ATP5IF1,ENST00000335514.10
SESN2,ENST00000253063.4
MED18,ENST00000373842.9
PHACTR4,ENST00000373839.8
RCC1,ENST00000683442.1
TRNAU1AP,ENST00000373830.4
TAF12,ENST00000373824.9
RAB42,ENST00000465518.3
GMEB1,ENST00000373816.6
YTHDF2,ENST00000373812.8
OPRD1,ENST00000234961.7
EPB41,ENST00000343067.9
TMEM200B,ENST00000521452.2
SRSF4,ENST00000373795.7
MECR,ENST00000263702.11
PTPRU,ENST00000373779.8
MATN1,ENST00000373765.5
LAPTM5,ENST00000294507.4
SDC3,ENST00000339394.7
PUM1,ENST00000426105.7
NKAIN1,ENST00000373736.7
SNRNP40,ENST00000263694.9
ZCCHC17,ENST00000344147.10
FABP3,ENST00000373713.7
SERINC2,ENST00000373709.8
TINAGL1,ENST00000271064.12
PEF1,ENST00000373703.5
COL16A1,ENST00000373672.8
ADGRB2,ENST00000373658.8
PTP4A2,ENST00000647444.2
KHDRBS1,ENST00000327300.12
TMEM39B,ENST00000336294.10
KPNA6,ENST00000373625.8
TXLNA,ENST00000373610.8
CCDC28B,ENST00000373602.10
IQCC,ENST00000291358.11
DCDC2B,ENST00000409358.2
TMEM234,ENST00000309777.11
FAM167B,ENST00000373582.4
LCK,ENST00000336890.10
HDAC1,ENST00000373548.8
MARCKSL1,ENST00000329421.8
TSSK3,ENST00000373534.4
BSDC1,ENST00000455895.7
ZBTB8B,ENST00000609129.2
ZBTB8A,ENST00000373510.9
ZBTB8OS,ENST00000468695.6
RBBP4,ENST00000373493.10
SYNC,ENST00000409190.8
KIAA1522,ENST00000401073.7
YARS1,ENST00000373477.9
S100PBP,ENST00000373475.10
FNDC5,ENST00000373471.9
HPCA,ENST00000373467.4
TMEM54,ENST00000373463.8
RNF19B,ENST00000235150.5
AK2,ENST00000672715.1
AZIN2,ENST00000294517.11
TRIM62,ENST00000291416.10
ZNF362,ENST00000539719.6
A3GALT2,ENST00000442999.3
PHC2,ENST00000683057.1
ZSCAN20,ENST00000684572.1
CSMD2,ENST00000373381.9
HMGB4,ENST00000681531.1
C1orf94,ENST00000488417.2
SMIM12,ENST00000521580.3
GJB5,ENST00000338513.1
GJB4,ENST00000339480.3
GJB3,ENST00000373366.3
GJA4,ENST00000342280.5
DLGAP3,ENST00000373347.6
ZMYM6,ENST00000357182.9
ZMYM1,ENST00000359858.9
SFPQ,ENST00000357214.6
ZMYM4,ENST00000314607.11
KIAA0319L,ENST00000325722.8
NCDN,ENST00000373243.7
TFAP2E,ENST00000373235.4
PSMB2,ENST00000373237.4
C1orf216,ENST00000270815.5
CLSPN,ENST00000318121.8
AGO4,ENST00000373210.4
AGO1,ENST00000373204.6
AGO3,ENST00000373191.9
TEKT2,ENST00000207457.8
ADPRS,ENST00000373178.5
COL8A2,ENST00000397799.2
TRAPPC3,ENST00000373166.8
MAP7D1,ENST00000474796.2
THRAP3,ENST00000354618.10
SH3D21,ENST00000453908.8
EVA1B,ENST00000490466.2
STK40,ENST00000373132.4
LSM10,ENST00000315732.3
OSCP1,ENST00000235532.9
MRPS15,ENST00000373116.6
CSF3R,ENST00000373106.6
GRIK3,ENST00000373091.8
ZC3H12A,ENST00000373087.7
MEAF6,ENST00000296214.10
SNIP1,ENST00000296215.8
DNALI1,ENST00000652629.1
GNL2,ENST00000373062.8
RSPO1,ENST00000356545.7
C1orf109,ENST00000486637.2
CDCA8,ENST00000373055.6
EPHA10,ENST00000373048.9
MANEAL,ENST00000373045.11
YRDC,ENST00000373044.3
C1orf122,ENST00000373042.5
MTF1,ENST00000373036.5
INPP5B,ENST00000373024.8
SF3A3,ENST00000373019.5
FHL3,ENST00000373016.4
UTP11,ENST00000373014.5
POU3F1,ENST00000373012.5
RRAGC,ENST00000373001.4
MYCBP,ENST00000397572.5
GJA9,ENST00000357771.5
RHBDL2,ENST00000372990.6
AKIRIN1,ENST00000432648.8
NDUFS5,ENST00000372969.8
BMP8A,ENST00000331593.6
PABPC4,ENST00000372858.8
HEYL,ENST00000372852.4
NT5C1A,ENST00000235628.2
HPCAL4,ENST00000372844.8
PPIE,ENST00000324379.10
BMP8B,ENST00000372827.8
OXCT2,ENST00000327582.5
TRIT1,ENST00000316891.10
MYCL,ENST00000372816.3
MFSD2A,ENST00000372811.10
CAP1,ENST00000372805.8
PPT1,ENST00000642050.2
RLF,ENST00000372771.5
TMCO2,ENST00000372766.4
ZMPSTE24,ENST00000372759.4
COL9A2,ENST00000372748.8
SMAP2,ENST00000372718.8
ZFP69B,ENST00000361584.5
ZFP69,ENST00000372706.6
EXO5,ENST00000415550.6
ZNF684,ENST00000372699.8
