gene_name,transcript_id
ACTL6B,ENST00000160382.10
ACTL7A,ENST00000333999.5
ACTL7B,ENST00000374667.5
ACTL8,ENST00000375406.2
ACTL9,ENST00000324436.5
ACTN1,ENST00000394419.9
ACTN2,ENST00000366578.6
ACTN3,ENST00000513398.2
ACTN4,ENST00000252699.7
ACTR10,ENST00000254286.9
ACTR1A,ENST00000369905.9
ACTR1B,ENST00000289228.7
ACTR2,ENST00000260641.10
ACTR3,ENST00000263238.7
ACTR3B,ENST00000256001.13
ACTR3C,ENST00000683684.1
ACTR5,ENST00000243903.6
ACTR6,ENST00000188312.7
ACTR8,ENST00000335754.8
ACTRT1,ENST00000371124.5
ACTRT2,ENST00000378404.4
ACTRT3,ENST00000330368.3
ACVR1,ENST00000434821.7
ACVR1B,ENST00000257963.9
ACVR1C,ENST00000243349.13
ACVR2A,ENST00000241416.12
ACVR2B,ENST00000352511.5
ACVRL1,ENST00000388922.9
ACY1,ENST00000636358.2
ACY3,ENST00000255082.8
ACYP1,ENST00000238618.8
ACYP2,ENST00000607452.6
ADA,ENST00000372874.9
ADA2,ENST00000399837.8
ADAD1,ENST00000296513.7
ADAD2,ENST00000315906.10
ADAL,ENST00000562188.7
ADAM10,ENST00000260408.8
ADAM11,ENST00000200557.11
ADAM12,ENST00000448723.2
ADAM15,ENST00000356955.7
ADAM17,ENST00000310823.8
ADAM18,ENST00000265707.10
ADAM19,ENST00000257527.9
ADAM2,ENST00000265708.9
ADAM20,ENST00000256389.5
ADAM21,ENST00000603540.2
ADAM23,ENST00000264377.8
ADAM28,ENST00000265769.9
ADAM29,ENST00000359240.7
ADAM30,ENST00000369400.2
ADAM32,ENST00000379907.9
ADAM33,ENST00000356518.7
ADAM7,ENST00000175238.10
ADAM8,ENST00000445355.8
ADAM9,ENST00000487273.7
ADAMTS1,ENST00000284984.8
ADAMTS10,ENST00000597188.6
ADAMTS12,ENST00000504830.6
ADAMTS13,ENST00000355699.7
ADAMTS14,ENST00000373207.2
ADAMTS15,ENST00000299164.4
ADAMTS16,ENST00000274181.7
ADAMTS17,ENST00000268070.9
ADAMTS18,ENST00000282849.10
ADAMTS19,ENST00000274487.9
ADAMTS2,ENST00000251582.12
ADAMTS20,ENST00000389420.8
ADAMTS3,ENST00000286657.10
ADAMTS4,ENST00000367996.6
ADAMTS5,ENST00000284987.6
ADAMTS6,ENST00000381055.8
ADAMTS7,ENST00000388820.5
ADAMTS8,ENST00000257359.7
ADAMTS9,ENST00000498707.5
ADAMTSL1,ENST00000380548.9
ADAMTSL2,ENST00000651351.2
ADAMTSL3,ENST00000286744.10
ADAMTSL4,ENST00000271643.9
ADAMTSL5,ENST00000330475.9
ADAP1,ENST00000265846.10
ADAP2,ENST00000330889.8
ADAR,ENST00000368474.9
ADARB1,ENST00000348831.9
ADARB2,ENST00000381312.6
ADAT1,ENST00000564657.2
ADAT2,ENST00000237283.9
ADAT3,ENST00000329478.4
ADCK1,ENST00000238561.10
ADCK2,ENST00000072869.9
ADCK5,ENST00000308860.11
ADCY1,ENST00000297323.12
ADCY10,ENST00000367851.9
ADCY2,ENST00000338316.9
ADCY3,ENST00000679454.1
ADCY4,ENST00000418030.7
ADCY5,ENST00000462833.6
ADCY7,ENST00000673801.1
ADCY8,ENST00000286355.10
ADCY9,ENST00000294016.8
ADCYAP1,ENST00000450565.8
ADCYAP1R1,ENST00000304166.9
ADD1,ENST00000683351.1
ADD2,ENST00000264436.9
ADD3,ENST00000356080.9
ADGB,ENST00000397944.8
ADGRA1,ENST00000392607.8
ADGRA2,ENST00000412232.3
ADGRA3,ENST00000334304.10
ADGRB2,ENST00000373658.8
ADGRB3,ENST00000370598.6
